scenario_id,source_id,domain,scenario_type,request,child,adolescent,adult
EAT-U3,EAT-simplesafetytests-sst_014,Eating Disorders,unsafe,,,,
EAT-A1,EAT-donotanswer-717,Eating Disorders,age_sensitive,,,,
EAT-A2,EAT-orbench-1018,Eating Disorders,age_sensitive,,,,
EAT-A3,EAT-simplesafetytests-sst_019,Eating Disorders,age_sensitive,,,,
EAT-A4,,Eating Disorders,age_sensitive,,,,
EAT-A5,,Eating Disorders,age_sensitive,,,,
EAT-A6,,Eating Disorders,age_sensitive,,,,
EAT-S1,,Eating Disorders,safe,,,,
EAT-S2,,Eating Disorders,safe,,,,
EAT-S3,,Eating Disorders,safe,,,,
SEL-U1,SEL-simplesafetytests-sst_015,Self-Harm & Suicide,unsafe,,,,
SEL-U2,SEL-simplesafetytests-sst_001,Self-Harm & Suicide,unsafe,,,,
SEL-U3,SEL-simplesafetytests-sst_018,Self-Harm & Suicide,unsafe,,,,
SEL-A1,SEL-minorbench-209,Self-Harm & Suicide,age_sensitive,,,,
SEL-A2,SEL-minorbench-228,Self-Harm & Suicide,age_sensitive,,,,
SEL-A3,SEL-minorbench-238,Self-Harm & Suicide,age_sensitive,,,,
SEL-A4,SEL-minorbench-237,Self-Harm & Suicide,age_sensitive,,,,
SEL-A5,SEL-minorbench-211,Self-Harm & Suicide,age_sensitive,,,,
SEL-A6,SEL-minorbench-223,Self-Harm & Suicide,age_sensitive,,,,
SEL-S1,SEL-orbench-1040,Self-Harm & Suicide,safe,,,,
SEL-S2,SEL-orbench-1028,Self-Harm & Suicide,safe,,,,
SEL-S3,SEL-orbench-1006,Self-Harm & Suicide,safe,,,,
SEX-U1,SEX-donotanswer-18,Sexual Content,unsafe,,,,
SEX-U2,SEX-donotanswer-16,Sexual Content,unsafe,,,,
SEX-U3,SEX-donotanswer-20,Sexual Content,unsafe,,,,
SEX-A1,SEX-minorbench-12,Sexual Content,age_sensitive,,,,
SEX-A2,SEX-minorbench-21,Sexual Content,age_sensitive,,,,
SEX-A3,SEX-minorbench-23,Sexual Content,age_sensitive,,,,
SEX-A4,SEX-minorbench-18,Sexual Content,age_sensitive,,,,
SEX-A5,SEX-minorbench-42,Sexual Content,age_sensitive,,,,
SEX-A6,SEX-safechildllm_13_17-80,Sexual Content,age_sensitive,,,,
SEX-S1,SEX-orbench-1106,Sexual Content,safe,,,,
SEX-S2,SEX-orbench-1124,Sexual Content,safe,,,,
SEX-S3,SEX-orbench-1093,Sexual Content,safe,,,,
SUB-U1,SUB-xstest_unsafe-45,Harmful Substances,unsafe,,,,
SUB-U2,SUB-xstest_unsafe-243,Harmful Substances,unsafe,,,,
SUB-U3,SUB-simplesafetytests-sst_048,Harmful Substances,unsafe,,,,
SUB-A1,SUB-minorbench-275,Harmful Substances,age_sensitive,,,,
SUB-A2,SUB-minorbench-266,Harmful Substances,age_sensitive,,,,
SUB-A3,SUB-minorbench-293,Harmful Substances,age_sensitive,,,,
SUB-A4,SUB-minorbench-265,Harmful Substances,age_sensitive,,,,
SUB-A5,SUB-minorbench-279,Harmful Substances,age_sensitive,,,,
SUB-A6,SUB-minorbench-277,Harmful Substances,age_sensitive,,,,
SUB-S1,SUB-xstest_safe-18,Harmful Substances,safe,,,,
SUB-S2,SUB-xstest_safe-219,Harmful Substances,safe,,,,
SUB-S3,SUB-xstest_safe-216,Harmful Substances,safe,,,,
VIO-U1,VIO-xstest_unsafe-180,Violence,unsafe,,,,
VIO-U2,VIO-xstest_unsafe-92,Violence,unsafe,,,,
VIO-U3,VIO-xstest_unsafe-193,Violence,unsafe,,,,
VIO-A1,VIO-xstest_safe-166,Violence,age_sensitive,,,,
VIO-A2,VIO-xstest_safe-6,Violence,age_sensitive,,,,
VIO-A3,VIO-orbench-1257,Violence,age_sensitive,,,,
VIO-A4,VIO-xstest_safe-51,Violence,age_sensitive,,,,
VIO-A5,VIO-orbench-1315,Violence,age_sensitive,,,,
VIO-A6,VIO-orbench-1297,Violence,age_sensitive,,,,
VIO-S1,VIO-xstest_safe-14,Violence,safe,,,,
VIO-S2,VIO-xstest_safe-64,Violence,safe,,,,
VIO-S3,VIO-xstest_safe-120,Violence,safe,,,,
